timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1677112952310,1160,/psychic-readings,200,OK,Psychic Readings - Thread Group 1-1,text,true,,68318,270,1,1,https://www.astrology.com/psychic-readings,227,0,52
1677112952310,227,/psychic-readings-0,301,Moved Permanently,Psychic Readings - Thread Group 1-1,,true,,301,135,1,1,http://www.astrology.com/psychic-readings,227,0,52
1677112952537,933,/psychic-readings-1,200,OK,Psychic Readings - Thread Group 1-1,text,true,,68017,135,1,1,https://www.astrology.com/psychic-readings,829,0,238
1677112953472,531,/img/favicon.ico,200,OK,Psychic Readings - Thread Group 1-1,bin,true,,8236,268,1,1,https://www.astrology.com/img/favicon.ico,162,0,1
1677112953472,162,/img/favicon.ico-0,301,Moved Permanently,Psychic Readings - Thread Group 1-1,,true,,300,134,1,1,http://www.astrology.com/img/favicon.ico,162,0,1
1677112953634,369,/img/favicon.ico-1,200,OK,Psychic Readings - Thread Group 1-1,bin,true,,7936,134,1,1,https://www.astrology.com/img/favicon.ico,369,0,216
1677112954003,538,/img/apple-touch-icon.png,200,OK,Psychic Readings - Thread Group 1-1,bin,true,,2738,286,1,1,https://www.astrology.com/img/apple-touch-icon.png,157,0,1
1677112954003,157,/img/apple-touch-icon.png-0,301,Moved Permanently,Psychic Readings - Thread Group 1-1,,true,,309,143,1,1,http://www.astrology.com/img/apple-touch-icon.png,157,0,1
1677112954160,381,/img/apple-touch-icon.png-1,200,OK,Psychic Readings - Thread Group 1-1,bin,true,,2429,143,1,1,https://www.astrology.com/img/apple-touch-icon.png,381,0,220
1677112954542,528,/img/favicon-32x32.png,200,OK,Psychic Readings - Thread Group 1-1,bin,true,,1493,280,1,1,https://www.astrology.com/img/favicon-32x32.png,160,0,1
1677112954542,160,/img/favicon-32x32.png-0,301,Moved Permanently,Psychic Readings - Thread Group 1-1,,true,,306,140,1,1,http://www.astrology.com/img/favicon-32x32.png,160,0,1
1677112954702,368,/img/favicon-32x32.png-1,200,OK,Psychic Readings - Thread Group 1-1,bin,true,,1187,140,1,1,https://www.astrology.com/img/favicon-32x32.png,368,0,220
1677112955070,523,/img/favicon-16x16.png,200,OK,Psychic Readings - Thread Group 1-1,bin,true,,1285,280,1,1,https://www.astrology.com/img/favicon-16x16.png,160,0,1
1677112955070,160,/img/favicon-16x16.png-0,301,Moved Permanently,Psychic Readings - Thread Group 1-1,,true,,306,140,1,1,http://www.astrology.com/img/favicon-16x16.png,160,0,1
1677112955230,363,/img/favicon-16x16.png-1,200,OK,Psychic Readings - Thread Group 1-1,bin,true,,979,140,1,1,https://www.astrology.com/img/favicon-16x16.png,363,0,212
1677112955594,584,/img/site.webmanifest,200,OK,Psychic Readings - Thread Group 1-1,text,true,,1234,278,1,1,https://www.astrology.com/img/site.webmanifest,161,0,1
1677112955594,161,/img/site.webmanifest-0,301,Moved Permanently,Psychic Readings - Thread Group 1-1,,true,,305,139,1,1,http://www.astrology.com/img/site.webmanifest,161,0,1
1677112955755,423,/img/site.webmanifest-1,200,OK,Psychic Readings - Thread Group 1-1,text,true,,929,139,1,1,https://www.astrology.com/img/site.webmanifest,423,0,217
1677112956178,520,/img/safari-pinned-tab.svg,200,OK,Psychic Readings - Thread Group 1-1,text,true,,1375,288,1,1,https://www.astrology.com/img/safari-pinned-tab.svg,158,0,1
1677112956178,158,/img/safari-pinned-tab.svg-0,301,Moved Permanently,Psychic Readings - Thread Group 1-1,,true,,310,144,1,1,http://www.astrology.com/img/safari-pinned-tab.svg,158,0,1
1677112956336,362,/img/safari-pinned-tab.svg-1,200,OK,Psychic Readings - Thread Group 1-1,text,true,,1065,144,1,1,https://www.astrology.com/img/safari-pinned-tab.svg,362,0,212
1677112956699,426,https://www.googletagmanager.com/ns.html?id=GTM-W5JL5NG,200,OK,Psychic Readings - Thread Group 1-1,text,true,,1117,148,1,1,https://www.googletagmanager.com/ns.html?id=GTM-W5JL5NG,426,0,259
1677112957125,1309,https://www.keen.com/psychic-readings/195?tid=SCNMDKCP&HLT=0&Hero=generic,200,OK,Psychic Readings - Thread Group 1-1,text,true,,126007,166,1,1,https://www.keen.com/psychic-readings/195?tid=SCNMDKCP&HLT=0&Hero=generic,1150,0,282
1677112958435,1031,/us/home.aspx,200,OK,Psychic Readings - Thread Group 1-1,text,true,,71197,262,1,1,https://www.astrology.com/us/home.aspx,157,0,0
1677112958435,157,/us/home.aspx-0,301,Moved Permanently,Psychic Readings - Thread Group 1-1,,true,,297,131,1,1,http://www.astrology.com/us/home.aspx,157,0,0
1677112958592,874,/us/home.aspx-1,200,OK,Psychic Readings - Thread Group 1-1,text,true,,70900,131,1,1,https://www.astrology.com/us/home.aspx,767,0,224
1677112959467,1346,https://shop.astrology.com/plus/dash/?utm_source=direct&utm_medium=acquisition&utm_campaign=-sign-in-button,200,OK,Psychic Readings - Thread Group 1-1,text,true,,29206,200,1,1,https://shop.astrology.com/plus/dash/?utm_source=direct&utm_medium=acquisition&utm_campaign=-sign-in-button,1292,0,293
1677112960813,1773,https://shop.astrology.com/product/astrology-plus/?utm_source=direct&utm_medium=acquisition&utm_campaign=top-nav,200,OK,Psychic Readings - Thread Group 1-1,text,true,,98458,205,1,1,https://shop.astrology.com/product/astrology-plus/?utm_source=direct&utm_medium=acquisition&utm_campaign=top-nav,1626,0,211
1677112962587,812,/horoscope/daily.html,200,OK,Psychic Readings - Thread Group 1-1,text,true,,77056,278,1,1,https://www.astrology.com/horoscope/daily.html,156,0,0
1677112962587,156,/horoscope/daily.html-0,301,Moved Permanently,Psychic Readings - Thread Group 1-1,,true,,305,139,1,1,http://www.astrology.com/horoscope/daily.html,156,0,0
1677112962743,656,/horoscope/daily.html-1,200,OK,Psychic Readings - Thread Group 1-1,text,true,,76751,139,1,1,https://www.astrology.com/horoscope/daily.html,555,0,216
1677112963400,789,/horoscope/weekly-overview.html,200,OK,Psychic Readings - Thread Group 1-1,text,true,,69298,298,1,1,https://www.astrology.com/horoscope/weekly-overview.html,157,0,0
1677112963400,157,/horoscope/weekly-overview.html-0,301,Moved Permanently,Psychic Readings - Thread Group 1-1,,true,,315,149,1,1,http://www.astrology.com/horoscope/weekly-overview.html,157,0,0
1677112963557,632,/horoscope/weekly-overview.html-1,200,OK,Psychic Readings - Thread Group 1-1,text,true,,68983,149,1,1,https://www.astrology.com/horoscope/weekly-overview.html,534,0,213
1677112964189,798,/horoscope/monthly-overview.html,200,OK,Psychic Readings - Thread Group 1-1,text,true,,71370,300,1,1,https://www.astrology.com/horoscope/monthly-overview.html,168,0,1
1677112964189,168,/horoscope/monthly-overview.html-0,301,Moved Permanently,Psychic Readings - Thread Group 1-1,,true,,316,150,1,1,http://www.astrology.com/horoscope/monthly-overview.html,168,0,1
1677112964357,630,/horoscope/monthly-overview.html-1,200,OK,Psychic Readings - Thread Group 1-1,text,true,,71054,150,1,1,https://www.astrology.com/horoscope/monthly-overview.html,530,0,215
1677112964988,744,/us/horoscope/index-yearly-2023.aspx,200,OK,Psychic Readings - Thread Group 1-1,text,true,,64923,308,1,1,https://www.astrology.com/us/horoscope/index-yearly-2023.aspx,166,0,1
1677112964988,166,/us/horoscope/index-yearly-2023.aspx-0,301,Moved Permanently,Psychic Readings - Thread Group 1-1,,true,,320,154,1,1,http://www.astrology.com/us/horoscope/index-yearly-2023.aspx,166,0,1
1677112965154,578,/us/horoscope/index-yearly-2023.aspx-1,200,OK,Psychic Readings - Thread Group 1-1,text,true,,64603,154,1,1,https://www.astrology.com/us/horoscope/index-yearly-2023.aspx,527,0,211
1677112965733,828,/us/horoscope/index-daily-love.aspx,200,OK,Psychic Readings - Thread Group 1-1,text,true,,74600,306,1,1,https://www.astrology.com/us/horoscope/index-daily-love.aspx,162,0,1
1677112965733,162,/us/horoscope/index-daily-love.aspx-0,301,Moved Permanently,Psychic Readings - Thread Group 1-1,,true,,319,153,1,1,http://www.astrology.com/us/horoscope/index-daily-love.aspx,162,0,1
1677112965895,666,/us/horoscope/index-daily-love.aspx-1,200,OK,Psychic Readings - Thread Group 1-1,text,true,,74281,153,1,1,https://www.astrology.com/us/horoscope/index-daily-love.aspx,561,0,226
