timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675819183631,653,/us/home.aspx,200,OK,Homepage - Thread Group 1-1,text,true,,69733,262,1,1,https://new.astrology.com/us/home.aspx,79,0,36
1675819183631,79,/us/home.aspx-0,301,Moved Permanently,Homepage - Thread Group 1-1,,true,,297,131,1,1,http://new.astrology.com/us/home.aspx,79,0,36
1675819183710,574,/us/home.aspx-1,200,OK,Homepage - Thread Group 1-1,text,true,,69436,131,1,1,https://new.astrology.com/us/home.aspx,519,0,94
1675819184286,421,/zodiac-signs/aquarius,200,OK,Homepage - Thread Group 1-1,text,true,,102125,280,1,1,https://new.astrology.com/zodiac-signs/aquarius,73,0,28
1675819184286,73,/zodiac-signs/aquarius-0,301,Moved Permanently,Homepage - Thread Group 1-1,,true,,306,140,1,1,http://new.astrology.com/zodiac-signs/aquarius,73,0,28
1675819184359,348,/zodiac-signs/aquarius-1,200,OK,Homepage - Thread Group 1-1,text,true,,101819,140,1,1,https://new.astrology.com/zodiac-signs/aquarius,303,0,94
1675819184708,526,/tarot/love-potential.html,200,OK,Homepage - Thread Group 1-1,text,true,,62617,288,1,1,https://new.astrology.com/tarot/love-potential.html,67,0,28
1675819184708,67,/tarot/love-potential.html-0,301,Moved Permanently,Homepage - Thread Group 1-1,,true,,310,144,1,1,http://new.astrology.com/tarot/love-potential.html,67,0,28
1675819184775,459,/tarot/love-potential.html-1,200,OK,Homepage - Thread Group 1-1,text,true,,62307,144,1,1,https://new.astrology.com/tarot/love-potential.html,407,0,92
1675819185235,352,/zodiac-man,200,OK,Homepage - Thread Group 1-1,text,true,,61932,258,1,1,https://new.astrology.com/zodiac-man,70,0,28
1675819185235,70,/zodiac-man-0,301,Moved Permanently,Homepage - Thread Group 1-1,,true,,295,129,1,1,http://new.astrology.com/zodiac-man,70,0,28
1675819185305,282,/zodiac-man-1,200,OK,Homepage - Thread Group 1-1,text,true,,61637,129,1,1,https://new.astrology.com/zodiac-man,246,0,93
1675819185588,342,/compatibility/daily-karmic-number.html,200,OK,Homepage - Thread Group 1-1,text,true,,61257,314,2,2,https://new.astrology.com/compatibility/daily-karmic-number.html,65,0,27
1675819185588,65,/compatibility/daily-karmic-number.html-0,301,Moved Permanently,Homepage - Thread Group 1-1,,true,,323,157,2,2,http://new.astrology.com/compatibility/daily-karmic-number.html,65,0,27
1675819185653,277,/compatibility/daily-karmic-number.html-1,200,OK,Homepage - Thread Group 1-1,text,true,,60934,157,2,2,https://new.astrology.com/compatibility/daily-karmic-number.html,246,0,92
1675819185930,577,/psychic-readings/tarot.html,200,OK,Homepage - Thread Group 1-1,text,true,,66996,292,2,2,https://new.astrology.com/psychic-readings/tarot.html,67,0,29
