timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675876566106,277,/compatibility/zodiac-signs/career.html,200,OK,Astrology Compatibility Work - Thread Group 1-1,text,true,,63424,314,1,1,https://www.astrology.com/compatibility/zodiac-signs/career.html,69,0,29
1675876566383,289,/zodiac-man,200,OK,Astrology Compatibility Work - Thread Group 1-1,text,true,,62484,258,1,1,https://www.astrology.com/zodiac-man,73,0,27
1675876566672,287,/compatibility/daily-karmic-number.html,200,OK,Astrology Compatibility Work - Thread Group 1-1,text,true,,61938,314,1,1,https://www.astrology.com/compatibility/daily-karmic-number.html,73,0,28
1675876566959,298,/tarot/card-meanings,200,OK,Astrology Compatibility Work - Thread Group 1-1,text,true,,75711,276,1,1,https://www.astrology.com/tarot/card-meanings,77,0,29
1675876567257,322,/zodiac-signs/aquarius,200,OK,Astrology Compatibility Work - Thread Group 1-1,text,true,,102248,280,1,1,https://www.astrology.com/zodiac-signs/aquarius,81,0,27
1675876567579,508,/psychic-readings/tarot.html,200,OK,Astrology Compatibility Work - Thread Group 1-1,text,true,,66995,292,1,1,https://www.astrology.com/psychic-readings/tarot.html,83,0,27
1675876568087,296,/tarot/love-potential.html,200,OK,Astrology Compatibility Work - Thread Group 1-1,text,true,,63261,288,1,1,https://www.astrology.com/tarot/love-potential.html,65,0,28
1675876568383,292,/tarot/daily-love.html,200,OK,Astrology Compatibility Work - Thread Group 1-1,text,true,,63153,280,1,1,https://www.astrology.com/tarot/daily-love.html,66,0,28
1675876568676,312,/us/horoscope/index-daily-love.aspx,200,OK,Astrology Compatibility Work - Thread Group 1-1,text,true,,73146,306,1,1,https://www.astrology.com/us/horoscope/index-daily-love.aspx,76,0,27
1675876568988,286,/tarot/how-to-tarot,200,OK,Astrology Compatibility Work - Thread Group 1-1,text,true,,74083,274,1,1,https://www.astrology.com/tarot/how-to-tarot,74,0,30
1675876569274,298,/zodiac-signs/pisces,200,OK,Astrology Compatibility Work - Thread Group 1-1,text,true,,108471,276,1,1,https://www.astrology.com/zodiac-signs/pisces,74,0,28
1675876569572,194,/js/jquery.lazyload.extended.js?v=1600123116,200,OK,Astrology Compatibility Work - Thread Group 1-1,text,true,,8249,324,1,1,https://www.astrology.com/js/jquery.lazyload.extended.js?v=1600123116,63,0,29
1675876569766,284,/tarot/daily-flirt.html,200,OK,Astrology Compatibility Work - Thread Group 1-1,text,true,,63212,282,1,1,https://www.astrology.com/tarot/daily-flirt.html,72,0,28
