elapsed,label,responseCode,responseMessage,threadName,success,bytes,grpThreads,allThreads,URL,Latency
384,/img/favicon.ico,200,OK,Psychic Readings - Thread Group 1-2,true,8225,5,5,https://new.astrology.com/img/favicon.ico,70
380,/img/apple-touch-icon.png,200,OK,Psychic Readings - Thread Group 1-3,true,2762,6,6,https://new.astrology.com/img/apple-touch-icon.png,69
380,/img/favicon-32x32.png,200,OK,Psychic Readings - Thread Group 1-4,true,1517,7,7,https://new.astrology.com/img/favicon-32x32.png,75
318,/img/favicon-16x16.png,200,OK,Psychic Readings - Thread Group 1-5,true,1286,8,8,https://new.astrology.com/img/favicon-16x16.png,71
179,https://fonts.googleapis.com/css2?family=Roboto:wght@400;500&display=swap,200,OK,Psychic Readings - Thread Group 1-3,true,965,8,8,https://fonts.googleapis.com/css2?family=Roboto:wght@400;500&display=swap,179
320,/img/safari-pinned-tab.svg,200,OK,Psychic Readings - Thread Group 1-6,true,1366,9,9,https://new.astrology.com/img/safari-pinned-tab.svg,73
227,https://www.googletagmanager.com/ns.html?id=GTM-W5JL5NG,200,OK,Psychic Readings - Thread Group 1-4,true,1117,10,10,https://www.googletagmanager.com/ns.html?id=GTM-W5JL5NG,227
908,/psychic-readings,200,OK,Psychic Readings - Thread Group 1-1,true,68534,10,10,https://new.astrology.com/psychic-readings,125
467,/img/site.webmanifest,200,OK,Psychic Readings - Thread Group 1-2,true,1234,10,10,https://new.astrology.com/img/site.webmanifest,68
557,/css-US/compiled/keen-psychic-reading.css?v=2023010409,200,OK,Psychic Readings - Thread Group 1-7,true,186107,10,10,https://new.astrology.com/css-US/compiled/keen-psychic-reading.css?v=2023010409,64
469,/us/home.aspx,200,OK,Psychic Readings - Thread Group 1-5,true,69758,10,10,https://new.astrology.com/us/home.aspx,65
362,/horoscope/weekly-overview.html,200,OK,Psychic Readings - Thread Group 1-10,true,67189,10,10,https://new.astrology.com/horoscope/weekly-overview.html,80
654,https://www.keen.com/psychic-readings/195?tid=SCNMDKCP&HLT=0&Hero=generic,200,OK,Psychic Readings - Thread Group 1-8,true,125689,10,10,https://www.keen.com/psychic-readings/195?tid=SCNMDKCP&HLT=0&Hero=generic,607
447,/horoscope/monthly-overview.html,200,OK,Psychic Readings - Thread Group 1-4,true,69672,10,10,https://new.astrology.com/horoscope/monthly-overview.html,67
473,/us/horoscope/index-daily-love.aspx,200,OK,Psychic Readings - Thread Group 1-2,true,72954,10,10,https://new.astrology.com/us/horoscope/index-daily-love.aspx,65
565,/us/horoscope/index-yearly-2023.aspx,200,OK,Psychic Readings - Thread Group 1-1,true,62921,10,10,https://new.astrology.com/us/horoscope/index-yearly-2023.aspx,65
417,/us/horoscope/index-daily-work.aspx,200,OK,Psychic Readings - Thread Group 1-7,true,74074,10,10,https://new.astrology.com/us/horoscope/index-daily-work.aspx,81
459,/us/horoscope/index-daily-dating.aspx,200,OK,Psychic Readings - Thread Group 1-5,true,73443,10,10,https://new.astrology.com/us/horoscope/index-daily-dating.aspx,118
401,/us/horoscope/index-chinese.aspx,200,OK,Psychic Readings - Thread Group 1-10,true,74349,10,10,https://new.astrology.com/us/horoscope/index-chinese.aspx,63
358,/learn,200,OK,Psychic Readings - Thread Group 1-8,true,67964,10,10,https://new.astrology.com/learn,64
