timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676675264938,832,/us/home.aspx,200,OK,Homepage - Thread Group 1-1,text,true,,68359,262,1,1,https://dev.astrology.com/us/home.aspx,213,0,53
1676675264938,213,/us/home.aspx-0,301,Moved Permanently,Homepage - Thread Group 1-1,,true,,297,131,1,1,http://dev.astrology.com/us/home.aspx,213,0,53
1676675265151,619,/us/home.aspx-1,200,OK,Homepage - Thread Group 1-1,text,true,,68062,131,1,1,https://dev.astrology.com/us/home.aspx,568,0,226
1676675265771,878,/zodiac-signs/aquarius,200,OK,Homepage - Thread Group 1-1,text,true,,101012,280,1,1,https://dev.astrology.com/zodiac-signs/aquarius,156,0,0
1676675265771,156,/zodiac-signs/aquarius-0,301,Moved Permanently,Homepage - Thread Group 1-1,,true,,306,140,1,1,http://dev.astrology.com/zodiac-signs/aquarius,156,0,0
1676675265927,722,/zodiac-signs/aquarius-1,200,OK,Homepage - Thread Group 1-1,text,true,,100706,140,1,1,https://dev.astrology.com/zodiac-signs/aquarius,625,0,206
1676675266649,982,/tarot/love-potential.html,200,OK,Homepage - Thread Group 1-1,text,true,,61896,288,2,2,https://dev.astrology.com/tarot/love-potential.html,154,0,1
1676675266649,154,/tarot/love-potential.html-0,301,Moved Permanently,Homepage - Thread Group 1-1,,true,,310,144,2,2,http://dev.astrology.com/tarot/love-potential.html,154,0,1
1676675266803,828,/tarot/love-potential.html-1,200,OK,Homepage - Thread Group 1-1,text,true,,61586,144,2,2,https://dev.astrology.com/tarot/love-potential.html,729,0,210
1676675266931,840,/zodiac-man,200,OK,Homepage - Thread Group 1-2,text,true,,61117,258,2,2,https://dev.astrology.com/zodiac-man,157,0,0
1676675266931,157,/zodiac-man-0,301,Moved Permanently,Homepage - Thread Group 1-2,,true,,295,129,2,2,http://dev.astrology.com/zodiac-man,157,0,0
1676675267088,683,/zodiac-man-1,200,OK,Homepage - Thread Group 1-2,text,true,,60822,129,2,2,https://dev.astrology.com/zodiac-man,632,0,230
1676675267631,763,/compatibility/daily-karmic-number.html,200,OK,Homepage - Thread Group 1-1,text,true,,60574,314,2,2,https://dev.astrology.com/compatibility/daily-karmic-number.html,159,0,1
1676675267631,159,/compatibility/daily-karmic-number.html-0,301,Moved Permanently,Homepage - Thread Group 1-1,,true,,323,157,2,2,http://dev.astrology.com/compatibility/daily-karmic-number.html,159,0,1
