timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency
1676659171380,998,/zodiac-woman,200,OK,Thread Group 1-1,text,true,61161,262,2,2,https://uat.astrology.com/zodiac-woman,172
1676659171884,872,/zodiac-signs/virgo,200,OK,Thread Group 1-2,text,true,105943,274,3,3,https://uat.astrology.com/zodiac-signs/virgo,156
1676659172378,900,/zodiac-signs/taurus,200,OK,Thread Group 1-1,text,true,102992,276,4,4,https://uat.astrology.com/zodiac-signs/taurus,164
1676659172384,1103,/zodiac-signs/scorpio,200,OK,Thread Group 1-3,text,true,108015,278,5,5,https://uat.astrology.com/zodiac-signs/scorpio,170
1676659172884,883,/zodiac-signs/pisces,200,OK,Thread Group 1-4,text,true,107181,276,5,5,https://uat.astrology.com/zodiac-signs/pisces,157
1676659172756,1050,/zodiac-signs/sagittarius,200,OK,Thread Group 1-2,text,true,101581,286,5,5,https://uat.astrology.com/zodiac-signs/sagittarius,162
1676659173278,853,/zodiac-signs/libra,200,OK,Thread Group 1-1,text,true,101390,274,6,6,https://uat.astrology.com/zodiac-signs/libra,161
1676659173488,852,/zodiac-signs/gemini,200,OK,Thread Group 1-3,text,true,100647,276,6,6,https://uat.astrology.com/zodiac-signs/gemini,156
1676659173381,1045,/zodiac-signs/leo,200,OK,Thread Group 1-5,text,true,96221,270,7,7,https://uat.astrology.com/zodiac-signs/leo,158
1676659173767,871,/zodiac-signs/capricorn,200,OK,Thread Group 1-4,text,true,106152,282,7,7,https://uat.astrology.com/zodiac-signs/capricorn,163
1676659173806,1050,/zodiac-signs/cancer,200,OK,Thread Group 1-2,text,true,108140,276,7,7,https://uat.astrology.com/zodiac-signs/cancer,161
1676659173883,1046,/zodiac-signs/aries,200,OK,Thread Group 1-6,text,true,94794,274,8,8,https://uat.astrology.com/zodiac-signs/aries,163
1676659174132,1047,/zodiac-signs/aquarius,200,OK,Thread Group 1-1,text,true,100953,280,8,8,https://uat.astrology.com/zodiac-signs/aquarius,156
1676659174427,780,/us/tarot/tarot-yin-yang.aspx,200,OK,Thread Group 1-5,text,true,61544,294,8,8,https://uat.astrology.com/us/tarot/tarot-yin-yang.aspx,161
1676659174340,887,/zodiac-signs,200,OK,Thread Group 1-3,text,true,77960,262,8,8,https://uat.astrology.com/zodiac-signs,158
1676659174382,849,/zodiac-man,200,OK,Thread Group 1-7,text,true,61120,258,8,8,https://uat.astrology.com/zodiac-man,157
1676659174639,865,/us/horoscope/yearly-overview-2023.aspx?sign=virgo,200,OK,Thread Group 1-4,text,true,66510,336,9,9,https://uat.astrology.com/us/horoscope/yearly-overview-2023.aspx?sign=virgo,157
