timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency
1676672214138,822,/zodiac-woman,200,OK,Thread Group 1-1,text,true,61158,262,1,1,https://dev.astrology.com/zodiac-woman,209
1676672214961,853,/zodiac-signs/virgo,200,OK,Thread Group 1-1,text,true,105994,274,1,1,https://dev.astrology.com/zodiac-signs/virgo,157
1676672215814,836,/zodiac-signs/taurus,200,OK,Thread Group 1-1,text,true,103044,276,2,2,https://dev.astrology.com/zodiac-signs/taurus,158
1676672216129,842,/zodiac-signs/scorpio,200,OK,Thread Group 1-2,text,true,108071,278,2,2,https://dev.astrology.com/zodiac-signs/scorpio,157
1676672216650,860,/zodiac-signs/sagittarius,200,OK,Thread Group 1-1,text,true,101632,286,2,2,https://dev.astrology.com/zodiac-signs/sagittarius,182
1676672216972,868,/zodiac-signs/pisces,200,OK,Thread Group 1-2,text,true,107233,276,2,2,https://dev.astrology.com/zodiac-signs/pisces,175
1676672217511,876,/zodiac-signs/libra,200,OK,Thread Group 1-1,text,true,101444,274,3,3,https://dev.astrology.com/zodiac-signs/libra,155
1676672217840,829,/zodiac-signs/leo,200,OK,Thread Group 1-2,text,true,96276,270,3,3,https://dev.astrology.com/zodiac-signs/leo,159
1676672218129,830,/zodiac-signs/gemini,200,OK,Thread Group 1-3,text,true,100701,276,3,3,https://dev.astrology.com/zodiac-signs/gemini,154
1676672218386,854,/zodiac-signs/capricorn,200,OK,Thread Group 1-1,text,true,106203,282,3,3,https://dev.astrology.com/zodiac-signs/capricorn,158
1676672218669,858,/zodiac-signs/cancer,200,OK,Thread Group 1-2,text,true,108193,276,3,3,https://dev.astrology.com/zodiac-signs/cancer,154
1676672218958,830,/zodiac-signs/aries,200,OK,Thread Group 1-3,text,true,94846,274,3,3,https://dev.astrology.com/zodiac-signs/aries,158
1676672219241,856,/zodiac-signs/aquarius,200,OK,Thread Group 1-1,text,true,101008,280,3,3,https://dev.astrology.com/zodiac-signs/aquarius,155
1676672219528,819,/zodiac-signs,200,OK,Thread Group 1-2,text,true,77963,262,4,4,https://dev.astrology.com/zodiac-signs,165
1676672219788,741,/zodiac-man,200,OK,Thread Group 1-3,text,true,61120,258,4,4,https://dev.astrology.com/zodiac-man,156
1676672220098,769,/us/tarot/tarot-yin-yang.aspx,200,OK,Thread Group 1-1,text,true,61548,294,4,4,https://dev.astrology.com/us/tarot/tarot-yin-yang.aspx,162
