elapsed,label,responseCode,responseMessage,threadName,success,sentBytes,grpThreads,allThreads,URL,Latency,Connect
571,/tarot.html,200,OK,Tarot Index Page - Thread Group 1-1,true,258,2,2,https://new.astrology.com/tarot.html,69,29
356,/tarot/card-meanings,200,OK,Tarot Index Page - Thread Group 1-2,true,276,2,2,https://new.astrology.com/tarot/card-meanings,65,30
358,/zodiac-man,200,OK,Tarot Index Page - Thread Group 1-1,true,258,2,2,https://new.astrology.com/zodiac-man,73,27
360,/zodiac-signs/aquarius,200,OK,Tarot Index Page - Thread Group 1-2,true,280,3,3,https://new.astrology.com/zodiac-signs/aquarius,65,28
352,/compatibility/daily-karmic-number.html,200,OK,Tarot Index Page - Thread Group 1-3,true,314,3,3,https://new.astrology.com/compatibility/daily-karmic-number.html,65,28
657,/psychic-readings/tarot.html,200,OK,Tarot Index Page - Thread Group 1-1,true,292,4,4,https://new.astrology.com/psychic-readings/tarot.html,75,28
506,/tarot/love-potential.html,200,OK,Tarot Index Page - Thread Group 1-2,true,288,4,4,https://new.astrology.com/tarot/love-potential.html,63,27
405,/tarot/card-meanings/suit-of-swords,200,OK,Tarot Index Page - Thread Group 1-4,true,306,4,4,https://new.astrology.com/tarot/card-meanings/suit-of-swords,67,27
575,/us/horoscope/index-daily-love.aspx,200,OK,Tarot Index Page - Thread Group 1-3,true,306,4,4,https://new.astrology.com/us/horoscope/index-daily-love.aspx,64,28
345,/tarot/card-meanings/the-fool,200,OK,Tarot Index Page - Thread Group 1-1,true,294,4,4,https://new.astrology.com/tarot/card-meanings/the-fool,66,27
387,/tarot/daily-love.html,200,OK,Tarot Index Page - Thread Group 1-2,true,280,5,5,https://new.astrology.com/tarot/daily-love.html,64,27
198,/js/jquery.lazyload.extended.js?v=1600123116,200,OK,Tarot Index Page - Thread Group 1-5,true,324,5,5,https://new.astrology.com/js/jquery.lazyload.extended.js?v=1600123116,60,27
378,/tarot/how-to-tarot,200,OK,Tarot Index Page - Thread Group 1-4,true,274,5,5,https://new.astrology.com/tarot/how-to-tarot,72,29
347,/tarot/card-meanings/the-empress,200,OK,Tarot Index Page - Thread Group 1-2,true,300,5,5,https://new.astrology.com/tarot/card-meanings/the-empress,64,27
543,/tarot/daily-flirt.html,200,OK,Tarot Index Page - Thread Group 1-1,true,282,5,5,https://new.astrology.com/tarot/daily-flirt.html,82,27
