elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Connect
314,/celebrities/,404,Not Found,Celebrities Index Page - Thread Group 1-1,text,false,1875,262,1,1,https://dev.horoscope.com/celebrities/,73,31
875,/us/games/divination/game-magic-8-ball.aspx,200,OK,Celebrities Index Page - Thread Group 1-1,text,true,151020,322,1,1,https://dev.horoscope.com/us/games/divination/game-magic-8-ball.aspx,69,30
297,/wp-content/themes/horoscope/assets/images/signs/gemini.svg,404,Not Found,Celebrities Index Page - Thread Group 1-1,text,false,1996,354,1,1,https://dev.horoscope.com/wp-content/themes/horoscope/assets/images/signs/gemini.svg,73,29
295,/wp-content/themes/horoscope/assets/svg/horoscope-logo.svg,404,Not Found,Celebrities Index Page - Thread Group 1-1,text,false,1995,352,1,1,https://dev.horoscope.com/wp-content/themes/horoscope/assets/svg/horoscope-logo.svg,72,29
347,/us/tarot/tarot-angel.aspx,200,OK,Celebrities Index Page - Thread Group 1-1,text,true,154259,288,1,1,https://dev.horoscope.com/us/tarot/tarot-angel.aspx,68,28
346,/us/games/index-games-love.aspx,200,OK,Celebrities Index Page - Thread Group 1-1,text,true,151615,298,1,1,https://dev.horoscope.com/us/games/index-games-love.aspx,63,28
382,/wp-content/themes/horoscope/assets/images/signs/scorpio.svg,404,Not Found,Celebrities Index Page - Thread Group 1-1,text,false,1997,356,1,1,https://dev.horoscope.com/wp-content/themes/horoscope/assets/images/signs/scorpio.svg,69,28
623,/birth-chart/,200,OK,Celebrities Index Page - Thread Group 1-1,text,true,36868,383,1,1,https://sites.horoscope.com/,67,28
533,/fr/index.aspx,200,OK,Celebrities Index Page - Thread Group 1-1,text,true,138051,264,1,1,https://dev.horoscope.com/fr/index.aspx,70,30
277,/wp-content/themes/horoscope/assets/images/signs/aquarius.svg,404,Not Found,Celebrities Index Page - Thread Group 1-1,text,false,1998,358,1,1,https://dev.horoscope.com/wp-content/themes/horoscope/assets/images/signs/aquarius.svg,63,29
392,/zodiac-signs/taurus,200,OK,Celebrities Index Page - Thread Group 1-1,text,true,158082,276,1,1,https://dev.horoscope.com/zodiac-signs/taurus,68,30
359,/us/horoscopes/general/horoscope-overview-daily-today.aspx,200,OK,Celebrities Index Page - Thread Group 1-1,text,true,160635,352,1,1,https://dev.horoscope.com/us/horoscopes/general/horoscope-overview-daily-today.aspx,77,29
343,/us/games/divination/game-cupids-oracle.aspx,200,OK,Celebrities Index Page - Thread Group 1-1,text,true,151782,324,1,1,https://dev.horoscope.com/us/games/divination/game-cupids-oracle.aspx,66,28
293,/wp-content/themes/horoscope/assets/images/signs/taurus.svg,404,Not Found,Celebrities Index Page - Thread Group 1-1,text,false,1996,354,1,1,https://dev.horoscope.com/wp-content/themes/horoscope/assets/images/signs/taurus.svg,71,29
460,/us/games/divination/game-ask-genie.aspx,200,OK,Celebrities Index Page - Thread Group 1-1,text,true,150308,316,1,1,https://dev.horoscope.com/us/games/divination/game-ask-genie.aspx,61,28
294,/wp-content/themes/horoscope/assets/images/signs/leo.svg,404,Not Found,Celebrities Index Page - Thread Group 1-1,text,false,1993,348,1,1,https://dev.horoscope.com/wp-content/themes/horoscope/assets/images/signs/leo.svg,73,29
279,/celebrities/sagittarius/,404,Not Found,Celebrities Index Page - Thread Group 1-1,text,false,1887,286,1,1,https://dev.horoscope.com/celebrities/sagittarius/,74,29
307,/wp-content/themes/horoscope/assets/images/signs/capricorn.svg,404,Not Found,Celebrities Index Page - Thread Group 1-1,text,false,1999,360,1,1,https://dev.horoscope.com/wp-content/themes/horoscope/assets/images/signs/capricorn.svg,84,27
279,/wp-content/themes/horoscope/assets/images/signs/aries.svg,404,Not Found,Celebrities Index Page - Thread Group 1-1,text,false,1995,352,1,1,https://dev.horoscope.com/wp-content/themes/horoscope/assets/images/signs/aries.svg,61,28
380,/zodiac-signs/gemini,200,OK,Celebrities Index Page - Thread Group 1-1,text,true,158660,276,1,1,https://dev.horoscope.com/zodiac-signs/gemini,81,30
352,/us/horoscopes/wellness/index-horoscope-wellness-daily.aspx,200,OK,Celebrities Index Page - Thread Group 1-1,text,true,150984,354,1,1,https://dev.horoscope.com/us/horoscopes/wellness/index-horoscope-wellness-daily.aspx,67,27
401,/us/sitemap.aspx,200,OK,Celebrities Index Page - Thread Group 1-1,text,true,14500,268,1,1,https://dev.horoscope.com/us/sitemap.aspx,71,28
278,/mercury-retrograde/,404,Not Found,Celebrities Index Page - Thread Group 1-1,text,false,1882,276,1,1,https://dev.horoscope.com/mercury-retrograde/,70,28
540,/us/horoscopes/numerology/index-horoscope-numerology.aspx,200,OK,Celebrities Index Page - Thread Group 1-1,text,true,163269,350,1,1,https://dev.horoscope.com/us/horoscopes/numerology/index-horoscope-numerology.aspx,69,29
347,/psychics/tarot.html,200,OK,Celebrities Index Page - Thread Group 1-1,text,true,139369,276,1,1,https://dev.horoscope.com/psychics/tarot.html,70,28
