timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680136149284,431,/us/horoscopes/chinese/index-horoscope-chinese.aspx,200,OK,Chinese Index Page - Thread Group 1-1,text,true,,160516,169,1,1,https://www.horoscope.com/us/horoscopes/chinese/index-horoscope-chinese.aspx,372,0,157
1680136149715,305,/us/games/divination/game-magic-8-ball.aspx,200,OK,Chinese Index Page - Thread Group 1-1,text,true,,155740,161,2,2,https://www.horoscope.com/us/games/divination/game-magic-8-ball.aspx,246,0,158
1680136149782,314,/us/horoscopes/general/horoscope-overview-daily-today.aspx,200,OK,Chinese Index Page - Thread Group 1-2,text,true,,163942,176,2,2,https://www.horoscope.com/us/horoscopes/general/horoscope-overview-daily-today.aspx,255,0,153
1680136150021,317,/us/tarot/tarot-past-lives.aspx,200,OK,Chinese Index Page - Thread Group 1-1,text,true,,159590,149,3,3,https://www.horoscope.com/us/tarot/tarot-past-lives.aspx,259,0,151
1680136150097,306,/zodiac-signs/taurus,200,OK,Chinese Index Page - Thread Group 1-2,text,true,,161871,138,3,3,https://www.horoscope.com/zodiac-signs/taurus,247,0,153
1680136150283,344,/psychics/love.html,200,OK,Chinese Index Page - Thread Group 1-3,text,true,,139048,137,3,3,https://www.horoscope.com/psychics/love.html,289,0,157
1680136150338,307,/us/horoscopes/numerology/index-horoscope-numerology.aspx,200,OK,Chinese Index Page - Thread Group 1-1,text,true,,167871,175,3,3,https://www.horoscope.com/us/horoscopes/numerology/index-horoscope-numerology.aspx,245,0,153
1680136150403,323,/us/horoscopes/chinese/horoscope-chinese-daily-today.aspx?sign=10,200,OK,Chinese Index Page - Thread Group 1-2,text,true,,163538,183,3,3,https://www.horoscope.com/us/horoscopes/chinese/horoscope-chinese-daily-today.aspx?sign=10,264,0,159
1680136150627,315,/us/horoscopes/chinese/horoscope-chinese-daily-today.aspx?sign=11,200,OK,Chinese Index Page - Thread Group 1-3,text,true,,163942,183,4,4,https://www.horoscope.com/us/horoscopes/chinese/horoscope-chinese-daily-today.aspx?sign=11,250,0,160
1680136150646,311,/us/horoscopes/general/index-horoscope-general-daily.aspx,200,OK,Chinese Index Page - Thread Group 1-1,text,true,,156961,175,4,4,https://www.horoscope.com/us/horoscopes/general/index-horoscope-general-daily.aspx,252,0,156
1680136150727,355,/us/games/index-games-compatibility.aspx,200,OK,Chinese Index Page - Thread Group 1-2,text,true,,154151,158,4,4,https://www.horoscope.com/us/games/index-games-compatibility.aspx,295,0,157
