timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675194007393,328,/celebrities/,404,Not Found,Chinese Inner Page - Thread Group 2-2,text,false,Test failed: code expected not to contain /404/,1875,262,2,4,https://dev.horoscope.com/celebrities/,73,0,29
1675194007393,73,/celebrities/-0,301,Moved Permanently,Chinese Inner Page - Thread Group 2-2,,true,,297,131,2,4,http://dev.horoscope.com/celebrities/,73,0,29
1675194007466,255,/celebrities/-1,404,Not Found,Chinese Inner Page - Thread Group 2-2,text,false,,1578,131,2,4,https://dev.horoscope.com/celebrities/,255,0,93
1675194007588,273,/mercury-retrograde/,404,Not Found,Chinese Inner Page - Thread Group 2-1,text,false,Test failed: code expected not to contain /404/,1882,276,2,4,https://dev.horoscope.com/mercury-retrograde/,61,0,28
1675194007588,61,/mercury-retrograde/-0,301,Moved Permanently,Chinese Inner Page - Thread Group 2-1,,true,,304,138,2,4,http://dev.horoscope.com/mercury-retrograde/,61,0,28
1675194007649,212,/mercury-retrograde/-1,404,Not Found,Chinese Inner Page - Thread Group 2-1,text,false,,1578,138,2,4,https://dev.horoscope.com/mercury-retrograde/,212,0,93
1675194008302,518,/us/horoscopes/chinese/horoscope-chinese-monthly.aspx?sign=10,500,Internal Server Error,Chinese Inner Page - Thread Group 2-1,text,false,,3747,358,2,4,https://dev.horoscope.com/us/horoscopes/chinese/horoscope-chinese-monthly.aspx?sign=10,71,0,28
1675194008302,71,/us/horoscopes/chinese/horoscope-chinese-monthly.aspx?sign=10-0,301,Moved Permanently,Chinese Inner Page - Thread Group 2-1,,true,,345,179,2,4,http://dev.horoscope.com/us/horoscopes/chinese/horoscope-chinese-monthly.aspx?sign=10,71,0,28
1675194008373,447,/us/horoscopes/chinese/horoscope-chinese-monthly.aspx?sign=10-1,500,Internal Server Error,Chinese Inner Page - Thread Group 2-1,text,false,,3402,179,2,4,https://dev.horoscope.com/us/horoscopes/chinese/horoscope-chinese-monthly.aspx?sign=10,447,0,91
1675194009841,417,/us/horoscopes/chinese/horoscope-chinese-daily-tomorrow.aspx?sign=10,500,Internal Server Error,Chinese Inner Page - Thread Group 2-2,text,false,,3754,372,2,4,https://dev.horoscope.com/us/horoscopes/chinese/horoscope-chinese-daily-tomorrow.aspx?sign=10,70,0,29
1675194009841,70,/us/horoscopes/chinese/horoscope-chinese-daily-tomorrow.aspx?sign=10-0,301,Moved Permanently,Chinese Inner Page - Thread Group 2-2,,true,,352,186,2,4,http://dev.horoscope.com/us/horoscopes/chinese/horoscope-chinese-daily-tomorrow.aspx?sign=10,70,0,29
1675194009911,347,/us/horoscopes/chinese/horoscope-chinese-daily-tomorrow.aspx?sign=10-1,500,Internal Server Error,Chinese Inner Page - Thread Group 2-2,text,false,,3402,186,2,4,https://dev.horoscope.com/us/horoscopes/chinese/horoscope-chinese-daily-tomorrow.aspx?sign=10,347,0,98
1675194013865,271,/astrology/,404,Not Found,Chinese Inner Page - Thread Group 2-2,text,false,Test failed: code expected not to contain /404/,1873,258,2,4,https://dev.horoscope.com/astrology/,65,0,29
1675194013865,65,/astrology/-0,301,Moved Permanently,Chinese Inner Page - Thread Group 2-2,,true,,295,129,2,4,http://dev.horoscope.com/astrology/,65,0,29
1675194013930,206,/astrology/-1,404,Not Found,Chinese Inner Page - Thread Group 2-2,text,false,,1578,129,2,4,https://dev.horoscope.com/astrology/,206,0,95
1675194015043,313,/us/horoscopes/yearly/2023-chinese-horoscope-rooster.aspx,500,Internal Server Error,Chinese Inner Page - Thread Group 2-1,text,false,,3743,350,2,4,https://dev.horoscope.com/us/horoscopes/yearly/2023-chinese-horoscope-rooster.aspx,74,0,30
1675194015043,74,/us/horoscopes/yearly/2023-chinese-horoscope-rooster.aspx-0,301,Moved Permanently,Chinese Inner Page - Thread Group 2-1,,true,,341,175,2,4,http://dev.horoscope.com/us/horoscopes/yearly/2023-chinese-horoscope-rooster.aspx,74,0,30
1675194015117,239,/us/horoscopes/yearly/2023-chinese-horoscope-rooster.aspx-1,500,Internal Server Error,Chinese Inner Page - Thread Group 2-1,text,false,,3402,175,2,4,https://dev.horoscope.com/us/horoscopes/yearly/2023-chinese-horoscope-rooster.aspx,239,0,90
1675194017311,279,/horoscope-dates/,404,Not Found,Chinese Inner Page - Thread Group 2-1,text,false,Test failed: code expected not to contain /404/,1879,270,2,4,https://dev.horoscope.com/horoscope-dates/,72,0,28
1675194017311,72,/horoscope-dates/-0,301,Moved Permanently,Chinese Inner Page - Thread Group 2-1,,true,,301,135,2,4,http://dev.horoscope.com/horoscope-dates/,72,0,28
1675194017383,207,/horoscope-dates/-1,404,Not Found,Chinese Inner Page - Thread Group 2-1,text,false,,1578,135,2,4,https://dev.horoscope.com/horoscope-dates/,207,0,91
1675194019402,264,/saturn-return/,404,Not Found,Chinese Inner Page - Thread Group 2-1,text,false,Test failed: code expected not to contain /404/,1877,266,2,4,https://dev.horoscope.com/saturn-return/,60,0,28
1675194019402,60,/saturn-return/-0,301,Moved Permanently,Chinese Inner Page - Thread Group 2-1,,true,,299,133,2,4,http://dev.horoscope.com/saturn-return/,60,0,28
1675194019462,204,/saturn-return/-1,404,Not Found,Chinese Inner Page - Thread Group 2-1,text,false,,1578,133,2,4,https://dev.horoscope.com/saturn-return/,204,0,89
