timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1677709302340,937,/us/horoscopes/chinese/index-horoscope-chinese.aspx,200,OK,Chinese Index Page - Thread Group 1-1,text,true,,160788,338,2,2,https://www.horoscope.com/us/horoscopes/chinese/index-horoscope-chinese.aspx,190,0,36
1677709302340,190,/us/horoscopes/chinese/index-horoscope-chinese.aspx-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-1,,true,,335,169,2,2,http://www.horoscope.com/us/horoscopes/chinese/index-horoscope-chinese.aspx,190,0,36
1677709302531,746,/us/horoscopes/chinese/index-horoscope-chinese.aspx-1,200,OK,Chinese Index Page - Thread Group 1-1,text,true,,160453,169,2,2,https://www.horoscope.com/us/horoscopes/chinese/index-horoscope-chinese.aspx,605,0,217
1677709302841,1133,/us/games/divination/game-magic-8-ball.aspx,200,OK,Chinese Index Page - Thread Group 1-2,text,true,,155965,322,4,4,https://www.horoscope.com/us/games/divination/game-magic-8-ball.aspx,150,0,0
1677709302841,150,/us/games/divination/game-magic-8-ball.aspx-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-2,,true,,327,161,4,4,http://www.horoscope.com/us/games/divination/game-magic-8-ball.aspx,150,0,0
1677709302991,983,/us/games/divination/game-magic-8-ball.aspx-1,200,OK,Chinese Index Page - Thread Group 1-2,text,true,,155638,161,4,4,https://www.horoscope.com/us/games/divination/game-magic-8-ball.aspx,839,0,201
1677709303339,909,/us/tarot/tarot-past-lives.aspx,200,OK,Chinese Index Page - Thread Group 1-3,text,true,,159765,298,4,4,https://www.horoscope.com/us/tarot/tarot-past-lives.aspx,158,0,0
1677709303339,158,/us/tarot/tarot-past-lives.aspx-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-3,,true,,315,149,4,4,http://www.horoscope.com/us/tarot/tarot-past-lives.aspx,158,0,0
1677709303497,751,/us/tarot/tarot-past-lives.aspx-1,200,OK,Chinese Index Page - Thread Group 1-3,text,true,,159450,149,4,4,https://www.horoscope.com/us/tarot/tarot-past-lives.aspx,603,0,214
1677709303278,1068,/us/horoscopes/general/horoscope-overview-daily-today.aspx,200,OK,Chinese Index Page - Thread Group 1-1,text,true,,164259,352,5,5,https://www.horoscope.com/us/horoscopes/general/horoscope-overview-daily-today.aspx,155,0,0
1677709303278,155,/us/horoscopes/general/horoscope-overview-daily-today.aspx-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-1,,true,,342,176,5,5,http://www.horoscope.com/us/horoscopes/general/horoscope-overview-daily-today.aspx,155,0,0
1677709303433,913,/us/horoscopes/general/horoscope-overview-daily-today.aspx-1,200,OK,Chinese Index Page - Thread Group 1-1,text,true,,163917,176,5,5,https://www.horoscope.com/us/horoscopes/general/horoscope-overview-daily-today.aspx,760,0,231
1677709303840,897,/zodiac-signs/taurus,200,OK,Chinese Index Page - Thread Group 1-4,text,true,,162244,276,5,5,https://www.horoscope.com/zodiac-signs/taurus,150,0,0
1677709303840,150,/zodiac-signs/taurus-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-4,,true,,304,138,5,5,http://www.horoscope.com/zodiac-signs/taurus,150,0,0
1677709303991,746,/zodiac-signs/taurus-1,200,OK,Chinese Index Page - Thread Group 1-4,text,true,,161940,138,5,5,https://www.horoscope.com/zodiac-signs/taurus,599,0,209
1677709303974,837,/psychics/love.html,200,OK,Chinese Index Page - Thread Group 1-2,text,true,,139312,274,5,5,https://www.horoscope.com/psychics/love.html,152,0,1
1677709303974,152,/psychics/love.html-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-2,,true,,303,137,5,5,http://www.horoscope.com/psychics/love.html,152,0,1
1677709304126,685,/psychics/love.html-1,200,OK,Chinese Index Page - Thread Group 1-2,text,true,,139009,137,5,5,https://www.horoscope.com/psychics/love.html,584,0,209
1677709304249,962,/us/horoscopes/numerology/index-horoscope-numerology.aspx,200,OK,Chinese Index Page - Thread Group 1-3,text,true,,168167,350,6,6,https://www.horoscope.com/us/horoscopes/numerology/index-horoscope-numerology.aspx,187,0,1
1677709304249,187,/us/horoscopes/numerology/index-horoscope-numerology.aspx-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-3,,true,,341,175,6,6,http://www.horoscope.com/us/horoscopes/numerology/index-horoscope-numerology.aspx,187,0,1
1677709304436,775,/us/horoscopes/numerology/index-horoscope-numerology.aspx-1,200,OK,Chinese Index Page - Thread Group 1-3,text,true,,167826,175,6,6,https://www.horoscope.com/us/horoscopes/numerology/index-horoscope-numerology.aspx,630,0,237
1677709304344,963,/us/horoscopes/chinese/horoscope-chinese-daily-today.aspx?sign=10,200,OK,Chinese Index Page - Thread Group 1-5,text,true,,164315,366,6,6,https://www.horoscope.com/us/horoscopes/chinese/horoscope-chinese-daily-today.aspx?sign=10,201,0,0
1677709304344,201,/us/horoscopes/chinese/horoscope-chinese-daily-today.aspx?sign=10-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-5,,true,,349,183,6,6,http://www.horoscope.com/us/horoscopes/chinese/horoscope-chinese-daily-today.aspx?sign=10,201,0,0
1677709304545,762,/us/horoscopes/chinese/horoscope-chinese-daily-today.aspx?sign=10-1,200,OK,Chinese Index Page - Thread Group 1-5,text,true,,163966,183,6,6,https://www.horoscope.com/us/horoscopes/chinese/horoscope-chinese-daily-today.aspx?sign=10,636,0,204
1677709304347,1037,/us/horoscopes/chinese/horoscope-chinese-daily-today.aspx?sign=11,200,OK,Chinese Index Page - Thread Group 1-1,text,true,,164243,366,7,7,https://www.horoscope.com/us/horoscopes/chinese/horoscope-chinese-daily-today.aspx?sign=11,192,0,0
1677709304347,192,/us/horoscopes/chinese/horoscope-chinese-daily-today.aspx?sign=11-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-1,,true,,349,183,7,7,http://www.horoscope.com/us/horoscopes/chinese/horoscope-chinese-daily-today.aspx?sign=11,192,0,0
1677709304539,845,/us/horoscopes/chinese/horoscope-chinese-daily-today.aspx?sign=11-1,200,OK,Chinese Index Page - Thread Group 1-1,text,true,,163894,183,7,7,https://www.horoscope.com/us/horoscopes/chinese/horoscope-chinese-daily-today.aspx?sign=11,698,0,207
1677709304811,919,/us/games/index-games-compatibility.aspx,200,OK,Chinese Index Page - Thread Group 1-2,text,true,,154435,316,7,7,https://www.horoscope.com/us/games/index-games-compatibility.aspx,152,0,1
1677709304811,152,/us/games/index-games-compatibility.aspx-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-2,,true,,324,158,7,7,http://www.horoscope.com/us/games/index-games-compatibility.aspx,152,0,1
1677709304963,767,/us/games/index-games-compatibility.aspx-1,200,OK,Chinese Index Page - Thread Group 1-2,text,true,,154111,158,7,7,https://www.horoscope.com/us/games/index-games-compatibility.aspx,629,0,214
1677709304738,1009,/us/horoscopes/general/index-horoscope-general-daily.aspx,200,OK,Chinese Index Page - Thread Group 1-4,text,true,,157359,350,7,7,https://www.horoscope.com/us/horoscopes/general/index-horoscope-general-daily.aspx,154,0,1
1677709304738,154,/us/horoscopes/general/index-horoscope-general-daily.aspx-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-4,,true,,341,175,7,7,http://www.horoscope.com/us/horoscopes/general/index-horoscope-general-daily.aspx,154,0,1
1677709304892,855,/us/horoscopes/general/index-horoscope-general-daily.aspx-1,200,OK,Chinese Index Page - Thread Group 1-4,text,true,,157018,175,7,7,https://www.horoscope.com/us/horoscopes/general/index-horoscope-general-daily.aspx,713,0,199
1677709304842,1114,/us/games/index-games-fortune-teller.aspx,200,OK,Chinese Index Page - Thread Group 1-6,text,true,,153586,318,8,8,https://www.horoscope.com/us/games/index-games-fortune-teller.aspx,150,0,0
1677709304842,150,/us/games/index-games-fortune-teller.aspx-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-6,,true,,325,159,8,8,http://www.horoscope.com/us/games/index-games-fortune-teller.aspx,150,0,0
1677709304992,964,/us/games/index-games-fortune-teller.aspx-1,200,OK,Chinese Index Page - Thread Group 1-6,text,true,,153261,159,8,8,https://www.horoscope.com/us/games/index-games-fortune-teller.aspx,818,0,205
1677709305338,878,/tarot/tarot-card-meaning/the-hanged-man,200,OK,Chinese Index Page - Thread Group 1-7,text,true,,161055,316,8,8,https://www.horoscope.com/tarot/tarot-card-meaning/the-hanged-man,152,0,0
1677709305338,152,/tarot/tarot-card-meaning/the-hanged-man-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-7,,true,,324,158,8,8,http://www.horoscope.com/tarot/tarot-card-meaning/the-hanged-man,152,0,0
1677709305490,726,/tarot/tarot-card-meaning/the-hanged-man-1,200,OK,Chinese Index Page - Thread Group 1-7,text,true,,160731,158,8,8,https://www.horoscope.com/tarot/tarot-card-meaning/the-hanged-man,586,0,200
1677709305308,932,/us/tarot/tarot-today-tomorrow.aspx,200,OK,Chinese Index Page - Thread Group 1-5,text,true,,157078,306,8,8,https://www.horoscope.com/us/tarot/tarot-today-tomorrow.aspx,153,0,0
1677709305308,153,/us/tarot/tarot-today-tomorrow.aspx-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-5,,true,,319,153,8,8,http://www.horoscope.com/us/tarot/tarot-today-tomorrow.aspx,153,0,0
1677709305461,779,/us/tarot/tarot-today-tomorrow.aspx-1,200,OK,Chinese Index Page - Thread Group 1-5,text,true,,156759,153,8,8,https://www.horoscope.com/us/tarot/tarot-today-tomorrow.aspx,631,0,208
1677709305212,1029,/us/horoscopes/love/index-horoscope-love-daily.aspx,200,OK,Chinese Index Page - Thread Group 1-3,text,true,,156046,338,8,8,https://www.horoscope.com/us/horoscopes/love/index-horoscope-love-daily.aspx,155,0,0
1677709305212,155,/us/horoscopes/love/index-horoscope-love-daily.aspx-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-3,,true,,335,169,8,8,http://www.horoscope.com/us/horoscopes/love/index-horoscope-love-daily.aspx,155,0,0
1677709305367,874,/us/horoscopes/love/index-horoscope-love-daily.aspx-1,200,OK,Chinese Index Page - Thread Group 1-3,text,true,,155711,169,8,8,https://www.horoscope.com/us/horoscopes/love/index-horoscope-love-daily.aspx,730,0,199
1677709305384,1001,/fr/index.aspx,200,OK,Chinese Index Page - Thread Group 1-1,text,true,,138966,264,9,9,https://www.horoscope.com/fr/index.aspx,149,0,0
1677709305384,149,/fr/index.aspx-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-1,,true,,298,132,9,9,http://www.horoscope.com/fr/index.aspx,149,0,0
1677709305533,852,/fr/index.aspx-1,200,OK,Chinese Index Page - Thread Group 1-1,text,true,,138668,132,9,9,https://www.horoscope.com/fr/index.aspx,699,0,216
1677709305747,906,/us/horoscopes/wellness/index-horoscope-wellness-daily.aspx,200,OK,Chinese Index Page - Thread Group 1-4,text,true,,156041,354,9,9,https://www.horoscope.com/us/horoscopes/wellness/index-horoscope-wellness-daily.aspx,152,0,1
1677709305747,152,/us/horoscopes/wellness/index-horoscope-wellness-daily.aspx-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-4,,true,,343,177,9,9,http://www.horoscope.com/us/horoscopes/wellness/index-horoscope-wellness-daily.aspx,152,0,1
1677709305899,754,/us/horoscopes/wellness/index-horoscope-wellness-daily.aspx-1,200,OK,Chinese Index Page - Thread Group 1-4,text,true,,155698,177,9,9,https://www.horoscope.com/us/horoscopes/wellness/index-horoscope-wellness-daily.aspx,608,0,208
1677709305731,939,/us/tarot/index-tarot-reading-forecast.aspx,200,OK,Chinese Index Page - Thread Group 1-2,text,true,,153395,322,9,9,https://www.horoscope.com/us/tarot/index-tarot-reading-forecast.aspx,161,0,1
1677709305731,161,/us/tarot/index-tarot-reading-forecast.aspx-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-2,,true,,327,161,9,9,http://www.horoscope.com/us/tarot/index-tarot-reading-forecast.aspx,161,0,1
1677709305892,778,/us/tarot/index-tarot-reading-forecast.aspx-1,200,OK,Chinese Index Page - Thread Group 1-2,text,true,,153068,161,9,9,https://www.horoscope.com/us/tarot/index-tarot-reading-forecast.aspx,633,0,207
1677709305956,888,/zodiac-signs/aries,200,OK,Chinese Index Page - Thread Group 1-6,text,true,,160830,274,10,10,https://www.horoscope.com/zodiac-signs/aries,151,0,2
1677709305956,151,/zodiac-signs/aries-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-6,,true,,303,137,10,10,http://www.horoscope.com/zodiac-signs/aries,151,0,2
1677709306107,737,/zodiac-signs/aries-1,200,OK,Chinese Index Page - Thread Group 1-6,text,true,,160527,137,10,10,https://www.horoscope.com/zodiac-signs/aries,595,0,204
1677709305837,1029,/us/games/index-games.aspx,200,OK,Chinese Index Page - Thread Group 1-8,text,true,,162089,288,10,10,https://www.horoscope.com/us/games/index-games.aspx,151,0,1
1677709305837,151,/us/games/index-games.aspx-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-8,,true,,310,144,10,10,http://www.horoscope.com/us/games/index-games.aspx,151,0,1
1677709305988,878,/us/games/index-games.aspx-1,200,OK,Chinese Index Page - Thread Group 1-8,text,true,,161779,144,10,10,https://www.horoscope.com/us/games/index-games.aspx,725,0,214
1677709306240,898,/us/team.aspx,200,OK,Chinese Index Page - Thread Group 1-5,text,true,,148248,262,10,10,https://www.horoscope.com/us/team.aspx,152,0,1
1677709306240,152,/us/team.aspx-0,301,Moved Permanently,Chinese Index Page - Thread Group 1-5,,true,,297,131,10,10,http://www.horoscope.com/us/team.aspx,152,0,1
1677709306392,746,/us/team.aspx-1,200,OK,Chinese Index Page - Thread Group 1-5,text,true,,147951,131,10,10,https://www.horoscope.com/us/team.aspx,596,0,209
1677709306241,938,/zodiac-signs/libra,200,OK,Chinese Index Page - Thread Group 1-3,text,true,,162261,274,10,10,https://www.horoscope.com/zodiac-signs/libra,151,0,1
