timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1683059358004,286,/astrology/,404,Not Found,Horoscopes Sitemap - Thread Group 1-3,text,false,Test failed: code expected not to contain /404/,1578,129,4,4,https://new.horoscope.com/astrology/,286,0,173
1683059358292,276,/celebrities/,404,Not Found,Horoscopes Sitemap - Thread Group 1-3,text,false,Test failed: code expected not to contain /404/,1578,131,4,4,https://new.horoscope.com/celebrities/,276,0,160
1683059358311,281,/celebrities/aquarius/,404,Not Found,Horoscopes Sitemap - Thread Group 1-2,text,false,Test failed: code expected not to contain /404/,1578,140,4,4,https://new.horoscope.com/celebrities/aquarius/,281,0,162
1683059358569,270,/celebrities/aries/,404,Not Found,Horoscopes Sitemap - Thread Group 1-3,text,false,Test failed: code expected not to contain /404/,1578,137,5,5,https://new.horoscope.com/celebrities/aries/,269,0,156
1683059358593,275,/celebrities/cancer/,404,Not Found,Horoscopes Sitemap - Thread Group 1-2,text,false,Test failed: code expected not to contain /404/,1578,138,5,5,https://new.horoscope.com/celebrities/cancer/,275,0,157
1683059358648,272,/celebrities/capricorn/,404,Not Found,Horoscopes Sitemap - Thread Group 1-5,text,false,Test failed: code expected not to contain /404/,1578,141,5,5,https://new.horoscope.com/celebrities/capricorn/,272,0,160
1683059358711,402,/celebrities/gemini/,404,Not Found,Horoscopes Sitemap - Thread Group 1-1,text,false,Test failed: code expected not to contain /404/,1578,138,5,5,https://new.horoscope.com/celebrities/gemini/,402,0,166
1683059358839,295,/celebrities/leo/,404,Not Found,Horoscopes Sitemap - Thread Group 1-3,text,false,Test failed: code expected not to contain /404/,1578,135,5,5,https://new.horoscope.com/celebrities/leo/,295,0,161
1683059358921,277,/celebrities/pisces/,404,Not Found,Horoscopes Sitemap - Thread Group 1-5,text,false,Test failed: code expected not to contain /404/,1578,138,6,6,https://new.horoscope.com/celebrities/pisces/,277,0,164
1683059358869,431,/celebrities/libra/,404,Not Found,Horoscopes Sitemap - Thread Group 1-2,text,false,Test failed: code expected not to contain /404/,1578,137,6,6,https://new.horoscope.com/celebrities/libra/,431,0,165
1683059359135,256,/celebrities/scorpio/,404,Not Found,Horoscopes Sitemap - Thread Group 1-3,text,false,Test failed: code expected not to contain /404/,1578,139,6,6,https://new.horoscope.com/celebrities/scorpio/,256,0,153
1683059359114,279,/celebrities/sagittarius/,404,Not Found,Horoscopes Sitemap - Thread Group 1-1,text,false,Test failed: code expected not to contain /404/,1578,143,6,6,https://new.horoscope.com/celebrities/sagittarius/,279,0,162
1683059359148,269,/celebrities/taurus/,404,Not Found,Horoscopes Sitemap - Thread Group 1-6,text,false,Test failed: code expected not to contain /404/,1578,138,6,6,https://new.horoscope.com/celebrities/taurus/,268,0,158
1683059359199,278,/celebrities/virgo/,404,Not Found,Horoscopes Sitemap - Thread Group 1-5,text,false,Test failed: code expected not to contain /404/,1578,137,6,6,https://new.horoscope.com/celebrities/virgo/,278,0,159
1683059359478,293,/horoscope-dates/,404,Not Found,Horoscopes Sitemap - Thread Group 1-5,text,false,Test failed: code expected not to contain /404/,1578,135,7,7,https://new.horoscope.com/horoscope-dates/,293,0,171
1683059360276,272,/mercury-retrograde/,404,Not Found,Horoscopes Sitemap - Thread Group 1-3,text,false,Test failed: code expected not to contain /404/,1578,138,8,8,https://new.horoscope.com/mercury-retrograde/,271,0,158
1683059360482,313,/saturn-return/,404,Not Found,Horoscopes Sitemap - Thread Group 1-5,text,false,Test failed: code expected not to contain /404/,1578,133,9,9,https://new.horoscope.com/saturn-return/,313,0,154
1683059372090,282,/celebrities/gemini/clint-eastwood/,404,Not Found,Horoscopes Sitemap - Thread Group 1-9,text,false,Test failed: code expected not to contain /404/,1578,153,20,20,https://new.horoscope.com/celebrities/gemini/clint-eastwood/,282,0,161
1683059372149,274,/wp-content/uploads/sites/2/2020/03/birthchartspin-300x200.gif,404,Not Found,Horoscopes Sitemap - Thread Group 1-11,text,false,Test failed: code expected not to contain /404/,1653,180,20,20,https://new.horoscope.com/wp-content/uploads/sites/2/2020/03/birthchartspin-300x200.gif,274,0,161
1683059372253,278,/wp-content/themes/horoscope/assets/images/signs/leo.svg,404,Not Found,Horoscopes Sitemap - Thread Group 1-14,text,false,Test failed: code expected not to contain /404/,1656,174,20,20,https://new.horoscope.com/wp-content/themes/horoscope/assets/images/signs/leo.svg,278,0,171
1683059372364,266,/wp-content/themes/horoscope/dist/js/blocks.js?ver=0.1.3,404,Not Found,Horoscopes Sitemap - Thread Group 1-18,text,false,Test failed: code expected not to contain /404/,1653,174,20,20,https://new.horoscope.com/wp-content/themes/horoscope/dist/js/blocks.js?ver=0.1.3,266,0,155
1683059372373,264,/wp-includes/css/dist/block-library/style.min.css?ver=6.0.1,404,Not Found,Horoscopes Sitemap - Thread Group 1-9,text,false,Test failed: code expected not to contain /404/,1678,177,20,20,https://new.horoscope.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.1,264,0,154
1683059372378,268,/celebrities/taurus/robert-pattinson-birthday/,404,Not Found,Horoscopes Sitemap - Thread Group 1-19,text,false,Test failed: code expected not to contain /404/,1578,164,20,20,https://new.horoscope.com/celebrities/taurus/robert-pattinson-birthday/,268,0,157
1683059372388,274,/celebrities/gemini/natalie-portman-birthday/,404,Not Found,Horoscopes Sitemap - Thread Group 1-17,text,false,Test failed: code expected not to contain /404/,1578,163,20,20,https://new.horoscope.com/celebrities/gemini/natalie-portman-birthday/,274,0,159
1683059372451,263,/celebrities/taurus/john-cena-birthday/,404,Not Found,Horoscopes Sitemap - Thread Group 1-10,text,false,Test failed: code expected not to contain /404/,1578,157,20,20,https://new.horoscope.com/celebrities/taurus/john-cena-birthday/,261,0,156
1683059372646,269,/celebrities/gemini/morgan-freeman-birthday/,404,Not Found,Horoscopes Sitemap - Thread Group 1-19,text,false,Test failed: code expected not to contain /404/,1578,162,20,20,https://new.horoscope.com/celebrities/gemini/morgan-freeman-birthday/,269,0,153
1683059372715,270,/wp-content/themes/horoscope/assets/images/signs/virgo.svg,404,Not Found,Horoscopes Sitemap - Thread Group 1-10,text,false,Test failed: code expected not to contain /404/,1656,176,20,20,https://new.horoscope.com/wp-content/themes/horoscope/assets/images/signs/virgo.svg,270,0,163
1683059372798,284,/celebrities/taurus/enrique-iglesias-birthday/,404,Not Found,Horoscopes Sitemap - Thread Group 1-5,text,false,Test failed: code expected not to contain /404/,1578,164,20,20,https://new.horoscope.com/celebrities/taurus/enrique-iglesias-birthday/,284,0,177
1683059372986,340,/celebrities/taurus/barbara-streisand-birthday/,404,Not Found,Horoscopes Sitemap - Thread Group 1-10,text,false,Test failed: code expected not to contain /404/,1578,165,20,20,https://new.horoscope.com/celebrities/taurus/barbara-streisand-birthday/,340,0,160
1683059373108,270,/celebrities/taurus/dwayne-johnson-birthday/,404,Not Found,Horoscopes Sitemap - Thread Group 1-8,text,false,Test failed: code expected not to contain /404/,1578,162,20,20,https://new.horoscope.com/celebrities/taurus/dwayne-johnson-birthday/,270,0,163
1683059373340,266,/celebrities/taurus/jerry-seinfeld-birthday/,404,Not Found,Horoscopes Sitemap - Thread Group 1-18,text,false,Test failed: code expected not to contain /404/,1578,162,20,20,https://new.horoscope.com/celebrities/taurus/jerry-seinfeld-birthday/,266,0,159
1683059373402,267,/mercury-retrograde/money/,404,Not Found,Horoscopes Sitemap - Thread Group 1-7,text,false,Test failed: code expected not to contain /404/,1578,144,20,20,https://new.horoscope.com/mercury-retrograde/money/,267,0,162
