timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675813111839,1309,new,200,OK,Thread Group 1-1,text,true,,70212,369,3,3,https://new.astrology.com/us/home.aspx,165,0,2
1675813111839,165,new-0,301,Moved Permanently,Thread Group 1-1,,true,,285,119,3,3,http://new.astrology.com/,165,0,2
1675813112005,565,new-1,301,Moved Permanently,Thread Group 1-1,text,true,,570,119,3,3,https://new.astrology.com/,565,0,224
1675813112570,578,new-2,200,OK,Thread Group 1-1,text,true,,69357,131,3,3,https://new.astrology.com/us/home.aspx,480,0,0
1675813112342,1227,new,200,OK,Thread Group 1-2,text,true,,70214,369,3,3,https://new.astrology.com/us/home.aspx,162,0,1
1675813112342,162,new-0,301,Moved Permanently,Thread Group 1-2,,true,,285,119,3,3,http://new.astrology.com/,162,0,1
1675813112504,556,new-1,301,Moved Permanently,Thread Group 1-2,text,true,,570,119,3,3,https://new.astrology.com/,556,0,227
1675813113061,508,new-2,200,OK,Thread Group 1-2,text,true,,69359,131,3,3,https://new.astrology.com/us/home.aspx,406,0,0
1675813112844,1315,new,200,OK,Thread Group 1-3,text,true,,70216,369,3,3,https://new.astrology.com/us/home.aspx,162,0,0
1675813112844,162,new-0,301,Moved Permanently,Thread Group 1-3,,true,,285,119,3,3,http://new.astrology.com/,162,0,0
1675813113006,468,new-1,301,Moved Permanently,Thread Group 1-3,text,true,,570,119,3,3,https://new.astrology.com/,468,0,211
1675813113474,685,new-2,200,OK,Thread Group 1-3,text,true,,69361,131,3,3,https://new.astrology.com/us/home.aspx,584,0,0
1675813113342,980,new,200,OK,Thread Group 1-4,text,true,,70214,369,2,2,https://new.astrology.com/us/home.aspx,159,0,1
1675813113342,159,new-0,301,Moved Permanently,Thread Group 1-4,,true,,285,119,2,2,http://new.astrology.com/,159,0,1
1675813113501,484,new-1,301,Moved Permanently,Thread Group 1-4,text,true,,570,119,2,2,https://new.astrology.com/,484,0,207
1675813113985,337,new-2,200,OK,Thread Group 1-4,text,true,,69359,131,2,2,https://new.astrology.com/us/home.aspx,287,0,0
1675813113841,1104,new,200,OK,Thread Group 1-5,text,true,,70212,369,3,3,https://new.astrology.com/us/home.aspx,157,0,1
1675813113841,157,new-0,301,Moved Permanently,Thread Group 1-5,,true,,285,119,3,3,http://new.astrology.com/,157,0,1
1675813113998,464,new-1,301,Moved Permanently,Thread Group 1-5,text,true,,570,119,3,3,https://new.astrology.com/,464,0,208
1675813114462,483,new-2,200,OK,Thread Group 1-5,text,true,,69357,131,3,3,https://new.astrology.com/us/home.aspx,385,0,0
1675813114343,1280,new,200,OK,Thread Group 1-6,text,true,,70213,369,3,3,https://new.astrology.com/us/home.aspx,158,0,0
1675813114343,158,new-0,301,Moved Permanently,Thread Group 1-6,,true,,285,119,3,3,http://new.astrology.com/,158,0,0
1675813114502,457,new-1,301,Moved Permanently,Thread Group 1-6,text,true,,570,119,3,3,https://new.astrology.com/,457,0,211
1675813114958,664,new-2,200,OK,Thread Group 1-6,text,true,,69358,131,3,3,https://new.astrology.com/us/home.aspx,564,0,0
1675813114841,995,new,200,OK,Thread Group 1-7,text,true,,70215,369,2,2,https://new.astrology.com/us/home.aspx,155,0,0
1675813114841,155,new-0,301,Moved Permanently,Thread Group 1-7,,true,,285,119,2,2,http://new.astrology.com/,155,0,0
1675813114996,468,new-1,301,Moved Permanently,Thread Group 1-7,text,true,,570,119,2,2,https://new.astrology.com/,468,0,207
1675813115464,372,new-2,200,OK,Thread Group 1-7,text,true,,69360,131,2,2,https://new.astrology.com/us/home.aspx,321,0,0
1675813115338,996,new,200,OK,Thread Group 1-8,text,true,,70214,369,2,2,https://new.astrology.com/us/home.aspx,156,0,1
1675813115338,156,new-0,301,Moved Permanently,Thread Group 1-8,,true,,285,119,2,2,http://new.astrology.com/,156,0,1
1675813115494,472,new-1,301,Moved Permanently,Thread Group 1-8,text,true,,570,119,2,2,https://new.astrology.com/,472,0,215
1675813115966,368,new-2,200,OK,Thread Group 1-8,text,true,,69359,131,2,2,https://new.astrology.com/us/home.aspx,316,0,0
1675813115839,985,new,200,OK,Thread Group 1-9,text,true,,70215,369,2,2,https://new.astrology.com/us/home.aspx,157,0,1
1675813115839,157,new-0,301,Moved Permanently,Thread Group 1-9,,true,,285,119,2,2,http://new.astrology.com/,157,0,1
1675813115997,471,new-1,301,Moved Permanently,Thread Group 1-9,text,true,,570,119,2,2,https://new.astrology.com/,471,0,208
1675813116468,356,new-2,200,OK,Thread Group 1-9,text,true,,69360,131,2,2,https://new.astrology.com/us/home.aspx,304,0,0
1675813116342,983,new,200,OK,Thread Group 1-10,text,true,,70213,369,2,2,https://new.astrology.com/us/home.aspx,156,0,1
1675813116342,156,new-0,301,Moved Permanently,Thread Group 1-10,,true,,285,119,2,2,http://new.astrology.com/,156,0,1
1675813116498,469,new-1,301,Moved Permanently,Thread Group 1-10,text,true,,570,119,2,2,https://new.astrology.com/,469,0,210
1675813116967,358,new-2,200,OK,Thread Group 1-10,text,true,,69358,131,2,2,https://new.astrology.com/us/home.aspx,306,0,0
1675813116842,967,new,200,OK,Thread Group 1-11,text,true,,70210,369,2,2,https://new.astrology.com/us/home.aspx,159,0,1
1675813116842,159,new-0,301,Moved Permanently,Thread Group 1-11,,true,,285,119,2,2,http://new.astrology.com/,159,0,1
1675813117001,475,new-1,301,Moved Permanently,Thread Group 1-11,text,true,,570,119,2,2,https://new.astrology.com/,475,0,211
1675813117476,333,new-2,200,OK,Thread Group 1-11,text,true,,69355,131,2,2,https://new.astrology.com/us/home.aspx,281,0,0
1675813117342,996,new,200,OK,Thread Group 1-12,text,true,,70216,369,2,2,https://new.astrology.com/us/home.aspx,159,0,2
